id,brand,name
25,Antlia,3nm Narrowband Oxygen III
30,Antlia,3nm Narrowband H-alpha
35,Antlia,3nm Narrowband Sulfur II
40,Antlia,3.5nm Narrowband Oxygen III
46,Antlia,3.5nm Narrowband H-alpha
48,Antlia,3.5nm Narrowband Sulfur II
52,Antlia,ALP-T Dual Band 5nm
53,Antlia,Luminance
58,Antlia,Red
63,Antlia,Green
68,Antlia,Blue
73,Antlia,U-Venus
74,Antlia,Methane (CH4)
75,Antlia,685nm IR Pass
76,Antlia,850nm IR Pass
77,Antlia,393.3nm CaK 3nm
78,Askar,Color Magic H-alpha 5nm
79,Askar,Color Magic SII 5nm
80,Askar,Color Magic OIII 5nm
82,Askar,Duo-band
86,Askar,O III 7nm
90,Askar,S II 7nm
94,Askar,H-alpha 7nm
98,Askar,Luminance
102,Askar,Red
106,Askar,Green
110,Askar,Blue
113,Astrodon,SII 3nm
119,Astrodon,OIII 3nm
125,Astrodon,H-alpha 3nm
131,Astrodon,Gen2 E-Series Tru-Balance Lum
137,Astrodon,Gen2 E-Series Tru-Balance Red
143,Astrodon,Gen2 E-Series Tru-Balance Green
149,Astrodon,Gen2 E-Series Tru-Balance Blue
155,Astrodon,SII 5nm
160,Astrodon,OIII 5nm
165,Astrodon,H-alpha 5nm
170,Astrodon,H-beta 15nm
172,Astrodon,NEAR IR
176,Astrodon,Sloan Gen2 u'
181,Astrodon,Sloan Gen2 g'
186,Astrodon,Sloan Gen2 r'
191,Astrodon,Sloan Gen2 i'
196,Astrodon,Sloan Gen2 Y
201,Astrodon,Sloan Gen2 z_s
206,Astrodon,Sloan Gen2 z'
211,Astrodon,L2P Light Pollution
215,Astrodon,One Shot Color Luminance
216,Astrodon,Gen2 I-Series Tru-Balance Lum
219,Astrodon,Gen2 I-Series Tru-Balance Red
222,Astrodon,Gen2 I-Series Tru-Balance Green
225,Astrodon,Gen2 I-Series Tru-Balance Blue
228,Astrodon,Gen1 E-Series Tru-Balance Lum
229,Astrodon,Gen1 E-Series Tru-Balance Red
230,Astrodon,Gen1 E-Series Tru-Balance Green
231,Astrodon,Gen1 E-Series Tru-Balance Blue
233,Astromania,Luminance
235,Astromania,Red
237,Astromania,Green
239,Astromania,Blue
240,Astromania,Dark Sky-N1
242,Astromania,UHC
244,Astromania,S-II
246,Astromania,O-III
248,Astromania,NBPF Hydrogen-a
250,Astromania,Narrowband Red
252,Astromania,H-Beta
254,Astromania,Moon/Skyglow
