Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
M      1,83.625,22.01666667,NGC 1952 Crab Nebula,Supernova Remnant,8.4, 6.0x4.0,Messier
M      2,323.375,-0.816666667,NGC 7089  ,Globular Cluster,6.5,12.9,Messier
M      3,205.55,28.38333333,NGC 5272  ,Globular Cluster,6.2,16.2,Messier
M      4,245.9,-26.53333333,NGC 6121  ,Globular Cluster,5.6,26.3,Messier
M      5,229.65,2.083333333,NGC 5904  ,Globular Cluster,5.6,17.4,Messier
M      6,265.025,-32.21666667,NGC 6405 Butterfly Cluster,Open Cluster,5.3,25,Messier
M      7,268.475,-34.81666667,NGC 6475 Ptolemy?s Cluster,Open Cluster,4.1,80,Messier
M      8,270.95,-24.38333333,NGC 6523 Lagoon Nebula,Diffuse Nebula,6, 90x40,Messier
M      9,259.8,-18.51666667,NGC 6333  ,Globular Cluster,7.7,9.3,Messier
M     10,254.275,-4.1,NGC 6254  ,Globular Cluster,6.6,15.1,Messier
M     11,282.775,-6.266666667,NGC 6705 Wild Duck Cluster,Open Cluster,6.3,14,Messier
M     12,251.8,-1.95,NGC 6218  ,Globular Cluster,6.7,14.5,Messier
M     13,250.425,36.46666667,NGC 6205 Hercules Globular Cluster,Globular Cluster,5.8,16.6,Messier
M     14,264.4,-3.25,NGC 6402  ,Globular Cluster,7.6,11.7,Messier
M     15,322.5,12.16666667,NGC 7078  ,Globular Cluster,6.2,12.3,Messier
M     16,274.7,-13.78333333,NGC 6611 Eagle Nebula Cluster,Open Cluster,6.4,7,Messier
M     17,275.2,-16.18333333,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,7,11,Messier
M     18,274.975,-17.13333333,NGC 6613  ,Open Cluster,7.5,9,Messier
M     19,255.65,-26.26666667,NGC 6273  ,Globular Cluster,6.8,13.5,Messier
M     20,270.575,-23.03333333,NGC 6514 Trifid Nebula,Diffuse Nebula,9,28,Messier
M     21,271.15,-22.5,NGC 6531  ,Open Cluster,6.5,13,Messier
M     22,279.1,-23.9,NGC 6656  ,Globular Cluster,5.1,24,Messier
M     23,269.2,-19.01666667,NGC 6494  ,Open Cluster,6.9,27,Messier
M     24,274.6,-18.41666667,NGC 6603 Milky Way Patch,Star Cloud,4.6,90,Messier
M     25,277.925,-19.23333333,IC 4725,Open Cluster,6.5,40,Messier
M     26,281.3,-9.4,NGC 6694  ,Open Cluster,8,15,Messier
M     27,299.9,22.71666667,NGC 6853 Dumbbell Nebula,Planetary Nebula,7.4, 8.0x5.7,Messier
M     28,276.125,-24.86666667,NGC 6626  ,Globular Cluster,6.8,11.2,Messier
M     29,305.975,38.53333333,NGC 6913  ,Open Cluster,7.1,7,Messier
M     30,325.1,-23.18333333,NGC 7099  ,Globular Cluster,7.2,11,Messier
M     31,10.675,41.26666667,NGC 224 Andromeda Galaxy,Spiral Galaxy,3.4, 178x63,Messier
M     32,10.675,40.86666667,NGC 221 Satellite of M31,Elliptical Galaxy,8.1, 8x6,Messier
M     33,23.475,30.65,NGC 598 Triangulum/Pinwheel Galaxy,Spiral Galaxy,5.7, 73x45,Messier
M     34,40.5,42.78333333,NGC 1039  ,Open Cluster,5.5,35,Messier
M     35,92.225,24.33333333,NGC 2168  ,Open Cluster,5.3,28,Messier
M     36,84.025,34.13333333,NGC 1960  ,Open Cluster,6.3,12,Messier
M     37,88.1,32.55,NGC 2099  ,Open Cluster,6.2,24,Messier
M     38,82.175,35.83333333,NGC 1912  ,Open Cluster,7.4,21,Messier
M     39,323.05,48.43333333,NGC 7092  ,Open Cluster,5.2,32,Messier
M     40,185.55,58.08333333,Winecke 4,Double Star,9 & 9.3,Sep: 49 arcsec,Messier
M     41,101.75,-20.73333333,NGC 2287  ,Open Cluster,4.6,38,Messier
M     42,83.85,-5.45,NGC 1976 Great Orion Nebula,Diffuse Nebula,4, 85x60,Messier
M     43,83.9,-5.266666667,NGC 1982 de Mairan?s Nebula,Diffuse Nebula,9, 20x15,Messier
M     44,130.025,19.98333333,NGC 2632 Beehive Cluster (Praesepe),Open Cluster,3.7,95,Messier
M     45,56.75,24.12,"Pleiades, Subaru, Seven Sisters",Open Cluster,1.6,110,Messier
M     46,115.45,-14.81666667,NGC 2437  ,Open Cluster,6,27,Messier
M     47,114.15,-14.5,NGC 2422  ,Open Cluster,5.2,30,Messier
M     48,123.45,-5.8,NGC 2548  ,Open Cluster,5.5,54,Messier
M     49,187.45,8,NGC 4472  ,Elliptical Galaxy,8.4, 9x7.5,Messier
M     50,105.8,-8.333333333,NGC 2323  ,Open Cluster,6.3,16,Messier
M     51,202.475,47.2,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,8.4, 11x7,Messier
M     52,351.05,61.58333333,NGC 7654  ,Open Cluster,7.3,13,Messier
